Bruyères;65000;054.1
Bruyères-sur-Oise;329000;049.0
Bruz;468000;383.0
Bry-sur-Marne;957000;013.1
Buchères-Verrières;838000;175.3
Bueil;366000;080.4
Bueil;370000;029.0
Bugeat;713000;458.1
Buire-sur-l'Ancre;272000;148.8
Bully-Grenay;301000;218.0
Buno-Gironville;745000;066.5
Busigny;242000;180.3
Bussac;500000;563.5
Busseau-sur-Creuse;702000;389.5
Bussière-Galant;611000;438.3
Bussière-Galant;615000;491.2
Bussy-Lettrée-Vatry;6000;016.6
Buzançais;594000;327.4
Buzançais;600000;280.2
Buzy-en-Béarn;664000;235.7
Buzy-en-Béarn;665000;235.7
Buzy (Meuse);85000;304.8
Byans;871000;015.1
Cadaujac;640000;008.8
Caen;366000;238.0
Caffiers;314000;278.5
Cagnes-sur-Mer;930000;212.1
Cahors;590000;600.8
Calais-Fréthun;216000;112.4
Calais-Fréthun;314000;286.9
Calais-Ville;314000;294.8
Callac;485000;537.4
Calonne-Ricouart;289000;054.0
Cambo-les-Bains;660000;216.2
Cambrai;259000;194.0
Cambrai-Annexe;250000;205.9
Campagnac-St-Geniez;722000;593.5
Campagne;676000;395.5
Cannes;930000;193.3
Cannes-la-Bocca;930000;190.0
Cannes-la-Bocca;944000;002.2
Cannes-Marchandises;930000;189.2
Cantin;259000;215.0
Cap-d'Ail;930000;236.2
Capdenac;718000;243.5
Cap-Martin-Roquebrune;930000;244.8
Capvern;650000;126.4
Carantilly-Marigny;415000;031.7
Carbonne;650000;041.3
Carcassonne;640000;347.8
Carentan;366000;313.8
Carhaix;485000;557.9
Carignan;204000;180.0
Carmaux;736000;429.7
Carnoët-Locarn;485000;548.8
Carnolès;930000;246.9
Carnoules;930000;101.7
Carpentras;926000;021.2
Carpentras;927000;016.9
Carquefou;457000;383.0
Carry-le-Rouet;935000;854.5
Cases-de-Pène;676000;463.6
Casino-Lacroix-Laval;782000;009.0
Cassel;301000;273.0
Cassis;930000;026.4
Castelnaudary;640000;311.9
Castelnau-d'Estrétefonds;640000;234.6
Castelsarrasin;640000;187.9
Castelsarrasin;649000;187.9
Castillon;629000;564.8
Castres;736000;366.0
Cattenières;250000;196.5
